source_dataset,passenger_id,pclass,survived,name,sex,age,family_size,fare,embarked,survived_label
Dataset 1,43,3,0,"Andreasson, Mr. Paul Edvin",male,20.0,0.0,7.8542,S,Did Not Survive
Dataset 1,44,2,0,"Andrew, Mr. Edgardo Samuel",male,18.0,0.0,11.5,S,Did Not Survive
Dataset 1,45,2,0,"Andrew, Mr. Frank Thomas",male,25.0,0.0,10.5,S,Did Not Survive
Dataset 1,46,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1.0,77.9583,S,Survived
Dataset 1,47,1,0,"Andrews, Mr. Thomas Jr",male,39.0,0.0,0.0,S,Did Not Survive
Dataset 1,48,3,0,"Angheloff, Mr. Minko",male,26.0,0.0,7.8958,S,Did Not Survive
Dataset 1,49,2,0,"Angle, Mr. William A",male,34.0,1.0,26.0,S,Did Not Survive
Dataset 1,50,2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,1.0,26.0,S,Survived
Dataset 1,51,1,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2.0,51.4792,S,Survived
Dataset 1,52,3,0,"Arnold-Franchi, Mr. Josef",male,25.0,1.0,17.8,S,Did Not Survive
Dataset 1,53,3,0,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1.0,17.8,S,Did Not Survive
Dataset 1,54,3,0,"Aronsson, Mr. Ernst Axel Algot",male,24.0,0.0,7.775,S,Did Not Survive
Dataset 1,55,1,0,"Artagaveytia, Mr. Ramon",male,71.0,0.0,49.5042,C,Did Not Survive
Dataset 1,56,2,0,"Ashby, Mr. John",male,57.0,0.0,13.0,S,Did Not Survive
Dataset 1,57,3,0,"Asim, Mr. Adola",male,35.0,0.0,7.05,S,Did Not Survive
Dataset 1,58,3,0,"Asplund, Master. Carl Edgar",male,5.0,6.0,31.3875,S,Did Not Survive
Dataset 1,59,3,0,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,6.0,31.3875,S,Did Not Survive
Dataset 1,60,3,1,"Asplund, Master. Edvin Rojj Felix",male,3.0,6.0,31.3875,S,Survived
Dataset 1,61,3,0,"Asplund, Master. Filip Oscar",male,13.0,6.0,31.3875,S,Did Not Survive
Dataset 1,62,3,1,"Asplund, Miss. Lillian Gertrud",female,5.0,6.0,31.3875,S,Survived
Dataset 1,63,3,0,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,6.0,31.3875,S,Did Not Survive
Dataset 1,64,3,1,"Asplund, Mr. Johan Charles",male,23.0,0.0,7.7958,S,Survived
Dataset 1,65,3,1,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,6.0,31.3875,S,Survived
Dataset 1,66,3,1,"Assaf Khalil, Mrs. Mariana (""Miriam"")",female,45.0,0.0,7.225,C,Survived
Dataset 1,67,3,0,"Assaf, Mr. Gerios",male,21.0,0.0,7.225,C,Did Not Survive
Dataset 1,68,3,0,"Assam, Mr. Ali",male,23.0,0.0,7.05,S,Did Not Survive
Dataset 1,69,1,0,"Astor, Col. John Jacob",male,47.0,1.0,227.525,C,Did Not Survive
Dataset 1,70,1,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,1.0,227.525,C,Survived
Dataset 1,71,3,0,"Attalah, Miss. Malake",female,17.0,0.0,14.4583,C,Did Not Survive
Dataset 1,72,3,0,"Attalah, Mr. Sleiman",male,30.0,0.0,7.225,C,Did Not Survive
Dataset 1,73,1,1,"Aubart, Mme. Leontine Pauline",female,24.0,0.0,69.3,C,Survived
Dataset 1,74,3,0,"Augustsson, Mr. Albert",male,23.0,0.0,7.8542,S,Did Not Survive
Dataset 1,75,3,1,"Ayoub, Miss. Banoura",female,13.0,0.0,7.2292,C,Survived
Dataset 1,76,3,0,"Baccos, Mr. Raffull",male,20.0,0.0,7.225,C,Did Not Survive
Dataset 1,77,3,0,"Backstrom, Mr. Karl Alfred",male,32.0,1.0,15.85,S,Did Not Survive
Dataset 1,78,3,1,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,3.0,15.85,S,Survived
Dataset 1,79,3,1,"Baclini, Miss. Eugenie",female,0.75,3.0,19.2583,C,Survived
Dataset 1,80,3,1,"Baclini, Miss. Helene Barbara",female,0.75,3.0,19.2583,C,Survived
Dataset 1,81,3,1,"Baclini, Miss. Marie Catherine",female,5.0,3.0,19.2583,C,Survived
Dataset 1,82,3,1,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24.0,3.0,19.2583,C,Survived
Dataset 1,83,3,1,"Badman, Miss. Emily Louisa",female,18.0,0.0,8.05,S,Survived
Dataset 1,84,3,0,"Badt, Mr. Mohamed",male,40.0,0.0,7.225,C,Did Not Survive
Dataset 1,85,2,0,"Bailey, Mr. Percy Andrew",male,18.0,0.0,11.5,S,Did Not Survive
Dataset 1,86,2,0,"Baimbrigge, Mr. Charles Robert",male,23.0,0.0,10.5,S,Did Not Survive
Dataset 1,87,3,0,"Balkic, Mr. Cerin",male,26.0,0.0,7.8958,S,Did Not Survive
Dataset 1,88,2,1,"Ball, Mrs. (Ada E Hall)",female,36.0,0.0,13.0,S,Survived
Dataset 1,89,2,0,"Banfield, Mr. Frederick James",male,28.0,0.0,10.5,S,Did Not Survive
Dataset 1,90,3,1,"Barah, Mr. Hanna Assi",male,20.0,0.0,7.2292,C,Survived
Dataset 1,91,3,0,"Barbara, Miss. Saiide",female,18.0,1.0,14.4542,C,Did Not Survive
Dataset 1,92,3,0,"Barbara, Mrs. (Catherine David)",female,45.0,1.0,14.4542,C,Did Not Survive
Dataset 1,93,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.0,0.0,78.85,S,Survived
Dataset 1,94,1,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,0.0,30.0,S,Survived
Dataset 1,95,3,0,"Barry, Miss. Julia",female,27.0,0.0,7.8792,Q,Did Not Survive
Dataset 1,96,3,0,"Barton, Mr. David John",male,22.0,0.0,8.05,S,Did Not Survive
Dataset 1,97,2,0,"Bateman, Rev. Robert James",male,51.0,0.0,12.525,S,Did Not Survive
Dataset 1,98,1,0,"Baumann, Mr. John D",male,,0.0,25.925,S,Did Not Survive
Dataset 1,99,1,0,"Baxter, Mr. Quigg Edmond",male,24.0,1.0,247.5208,C,Did Not Survive
Dataset 1,100,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.0,1.0,247.5208,C,Survived
Dataset 1,101,1,1,"Bazzani, Miss. Albina",female,32.0,0.0,76.2917,C,Survived
Dataset 1,102,2,1,"Beane, Mr. Edward",male,32.0,1.0,26.0,S,Survived
Dataset 1,103,2,1,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,1.0,26.0,S,Survived
Dataset 1,104,1,0,"Beattie, Mr. Thomson",male,36.0,0.0,75.2417,C,Did Not Survive
Dataset 1,105,2,0,"Beauchamp, Mr. Henry James",male,28.0,0.0,26.0,S,Did Not Survive
Dataset 1,106,3,0,"Beavan, Mr. William Thomas",male,19.0,0.0,8.05,S,Did Not Survive
Dataset 1,107,2,1,"Becker, Master. Richard F",male,1.0,3.0,39.0,S,Survived
Dataset 1,108,2,1,"Becker, Miss. Marion Louise",female,4.0,3.0,39.0,S,Survived
Dataset 1,109,2,1,"Becker, Miss. Ruth Elizabeth",female,12.0,3.0,39.0,S,Survived
Dataset 1,110,2,1,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",female,36.0,3.0,39.0,S,Survived
Dataset 1,111,1,1,"Beckwith, Mr. Richard Leonard",male,37.0,2.0,52.5542,S,Survived
Dataset 1,112,1,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,2.0,52.5542,S,Survived
Dataset 1,113,2,1,"Beesley, Mr. Lawrence",male,34.0,0.0,13.0,S,Survived
Dataset 1,114,1,1,"Behr, Mr. Karl Howell",male,26.0,0.0,30.0,C,Survived
Dataset 1,115,3,0,"Bengtsson, Mr. John Viktor",male,26.0,0.0,7.775,S,Did Not Survive
Dataset 1,116,2,1,"Bentham, Miss. Lilian W",female,19.0,0.0,13.0,S,Survived
Dataset 1,117,3,0,"Berglund, Mr. Karl Ivar Sven",male,22.0,0.0,9.35,S,Did Not Survive
Dataset 1,118,2,0,"Berriman, Mr. William John",male,23.0,0.0,13.0,S,Did Not Survive
Dataset 1,119,3,0,"Betros, Master. Seman",male,,0.0,7.2292,C,Did Not Survive
Dataset 1,120,3,0,"Betros, Mr. Tannous",male,20.0,0.0,4.0125,C,Did Not Survive
Dataset 1,121,1,1,"Bidois, Miss. Rosalie",female,42.0,0.0,227.525,C,Survived
Dataset 1,122,3,1,"Bing, Mr. Lee",male,32.0,0.0,56.4958,S,Survived
Dataset 1,123,1,1,"Bird, Miss. Ellen",female,29.0,0.0,221.7792,S,Survived
Dataset 1,124,3,0,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0.0,7.775,S,Did Not Survive
Dataset 1,125,1,0,"Birnbaum, Mr. Jakob",male,25.0,0.0,26.0,C,Did Not Survive
Dataset 1,126,1,1,"Bishop, Mr. Dickinson H",male,25.0,1.0,91.0792,C,Survived
Dataset 1,127,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.0,1.0,91.0792,C,Survived
Dataset 1,128,1,1,"Bissette, Miss. Amelia",female,35.0,0.0,135.6333,S,Survived
Dataset 1,129,3,0,"Bjorklund, Mr. Ernst Herbert",male,18.0,0.0,7.75,S,Did Not Survive
Dataset 1,130,1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",male,28.0,0.0,26.55,S,Survived
Dataset 1,131,1,0,"Blackwell, Mr. Stephen Weart",male,45.0,0.0,35.5,S,Did Not Survive
Dataset 1,132,1,1,"Blank, Mr. Henry",male,40.0,0.0,31.0,C,Survived
Dataset 1,133,1,1,"Bonnell, Miss. Caroline",female,30.0,0.0,164.8667,S,Survived
Dataset 1,134,1,1,"Bonnell, Miss. Elizabeth",female,58.0,0.0,26.55,S,Survived
Dataset 1,135,1,0,"Borebank, Mr. John James",male,42.0,0.0,26.55,S,Did Not Survive
Dataset 1,136,3,0,"Bostandyeff, Mr. Guentcho",male,26.0,0.0,7.8958,S,Did Not Survive
Dataset 1,137,2,0,"Botsford, Mr. William Hull",male,26.0,0.0,13.0,S,Did Not Survive
Dataset 1,138,3,0,"Boulos, Master. Akar",male,6.0,2.0,15.2458,C,Did Not Survive
Dataset 1,139,3,0,"Boulos, Miss. Nourelain",female,9.0,2.0,15.2458,C,Did Not Survive
Dataset 1,140,3,0,"Boulos, Mr. Hanna",male,,0.0,7.225,C,Did Not Survive
Dataset 1,141,3,0,"Boulos, Mrs. Joseph (Sultana)",female,,2.0,15.2458,C,Did Not Survive
Dataset 1,142,3,0,"Bourke, Miss. Mary",female,,2.0,7.75,Q,Did Not Survive
Dataset 1,143,3,0,"Bourke, Mr. John",male,40.0,2.0,15.5,Q,Did Not Survive
Dataset 1,144,3,0,"Bourke, Mrs. John (Catherine)",female,32.0,2.0,15.5,Q,Did Not Survive
Dataset 1,145,1,1,"Bowen, Miss. Grace Scott",female,45.0,0.0,262.375,C,Survived
Dataset 1,146,3,0,"Bowen, Mr. David John ""Dai""",male,21.0,0.0,16.1,S,Did Not Survive
Dataset 1,147,2,0,"Bowenur, Mr. Solomon",male,42.0,0.0,13.0,S,Did Not Survive
Dataset 1,148,1,1,"Bowerman, Miss. Elsie Edith",female,22.0,1.0,55.0,S,Survived
Dataset 1,149,2,0,"Bracken, Mr. James H",male,27.0,0.0,13.0,S,Did Not Survive
Dataset 1,150,3,1,"Bradley, Miss. Bridget Delia",female,22.0,0.0,7.725,Q,Survived
Dataset 1,151,1,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0.0,26.55,S,Survived
Dataset 1,152,1,0,"Brady, Mr. John Bertram",male,41.0,0.0,30.5,S,Did Not Survive
Dataset 1,153,3,0,"Braf, Miss. Elin Ester Maria",female,20.0,0.0,7.8542,S,Did Not Survive
Dataset 1,154,1,0,"Brandeis, Mr. Emil",male,48.0,0.0,50.4958,C,Did Not Survive
Dataset 1,155,3,0,"Braund, Mr. Lewis Richard",male,29.0,1.0,7.0458,S,Did Not Survive
Dataset 1,156,3,0,"Braund, Mr. Owen Harris",male,22.0,1.0,7.25,S,Did Not Survive
Dataset 1,157,1,0,"Brewe, Dr. Arthur Jackson",male,,0.0,39.6,C,Did Not Survive
Dataset 1,158,3,0,"Brobeck, Mr. Karl Rudolf",male,22.0,0.0,7.7958,S,Did Not Survive
Dataset 1,159,3,0,"Brocklebank, Mr. William Alfred",male,35.0,0.0,8.05,S,Did Not Survive
Dataset 1,160,2,1,"Brown, Miss. Amelia ""Mildred""",female,24.0,0.0,13.0,S,Survived
Dataset 1,161,2,1,"Brown, Miss. Edith Eileen",female,15.0,2.0,39.0,S,Survived
Dataset 1,162,2,0,"Brown, Mr. Thomas William Solomon",male,60.0,2.0,39.0,S,Did Not Survive
Dataset 1,163,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.0,0.0,27.7208,C,Survived
Dataset 1,164,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",female,59.0,2.0,51.4792,S,Survived
Dataset 1,165,2,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40.0,2.0,39.0,S,Survived
Dataset 1,166,2,1,"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20.0,1.0,26.0,S,Survived
Dataset 1,167,2,0,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,1.0,26.0,S,Did Not Survive
Dataset 1,168,3,0,"Buckley, Miss. Katherine",female,18.5,0.0,7.2833,Q,Did Not Survive
Dataset 1,169,3,1,"Buckley, Mr. Daniel",male,21.0,0.0,7.8208,Q,Survived
Dataset 1,170,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0.0,76.2917,C,Survived
Dataset 1,171,3,0,"Burke, Mr. Jeremiah",male,19.0,0.0,6.75,Q,Did Not Survive
Dataset 1,172,1,1,"Burns, Miss. Elizabeth Margaret",female,41.0,0.0,134.5,C,Survived
Dataset 1,173,3,0,"Burns, Miss. Mary Delia",female,18.0,0.0,7.8792,Q,Did Not Survive
Dataset 1,174,2,1,"Buss, Miss. Kate",female,36.0,0.0,13.0,S,Survived
Dataset 1,175,2,0,"Butler, Mr. Reginald Fenton",male,25.0,0.0,13.0,S,Did Not Survive
Dataset 1,176,1,0,"Butt, Major. Archibald Willingham",male,45.0,0.0,26.55,S,Did Not Survive
Dataset 1,177,2,0,"Byles, Rev. Thomas Roussel Davids",male,42.0,0.0,13.0,S,Did Not Survive
Dataset 1,178,2,1,"Bystrom, Mrs. (Karolina)",female,42.0,0.0,13.0,S,Survived
Dataset 1,179,3,0,"Cacic, Miss. Manda",female,21.0,0.0,8.6625,S,Did Not Survive
Dataset 1,180,3,0,"Cacic, Miss. Marija",female,30.0,0.0,8.6625,S,Did Not Survive
Dataset 1,181,3,0,"Cacic, Mr. Jego Grga",male,18.0,0.0,8.6625,S,Did Not Survive
Dataset 1,182,3,0,"Cacic, Mr. Luka",male,38.0,0.0,8.6625,S,Did Not Survive
Dataset 1,183,1,0,"Cairns, Mr. Alexander",male,,0.0,31.0,S,Did Not Survive
Dataset 1,184,1,1,"Calderhead, Mr. Edward Pennington",male,42.0,0.0,26.2875,S,Survived
Dataset 1,185,2,1,"Caldwell, Master. Alden Gates",male,0.83,2.0,29.0,S,Survived
Dataset 1,186,2,1,"Caldwell, Mr. Albert Francis",male,26.0,2.0,29.0,S,Survived
Dataset 1,187,2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.0,2.0,29.0,S,Survived
Dataset 1,188,3,0,"Calic, Mr. Jovo",male,17.0,0.0,8.6625,S,Did Not Survive
Dataset 1,189,3,0,"Calic, Mr. Petar",male,17.0,0.0,8.6625,S,Did Not Survive
Dataset 1,190,2,1,"Cameron, Miss. Clear Annie",female,35.0,0.0,21.0,S,Survived
Dataset 1,191,2,0,"Campbell, Mr. William",male,,0.0,0.0,S,Did Not Survive
Dataset 1,192,3,0,"Canavan, Miss. Mary",female,21.0,0.0,7.75,Q,Did Not Survive
Dataset 1,193,3,0,"Canavan, Mr. Patrick",male,21.0,0.0,7.75,Q,Did Not Survive
Dataset 1,194,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",female,53.0,0.0,27.4458,C,Survived
Dataset 1,195,3,0,"Cann, Mr. Ernest Charles",male,21.0,0.0,8.05,S,Did Not Survive
Dataset 1,196,3,0,"Caram, Mr. Joseph",male,,1.0,14.4583,C,Did Not Survive
Dataset 1,197,3,0,"Caram, Mrs. Joseph (Maria Elias)",female,,1.0,14.4583,C,Did Not Survive
Dataset 1,198,2,0,"Carbines, Mr. William",male,19.0,0.0,13.0,S,Did Not Survive
Dataset 1,199,1,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,1.0,512.3292,C,Survived
Dataset 1,200,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,1.0,512.3292,C,Survived
Dataset 1,201,3,0,"Carlsson, Mr. August Sigfrid",male,28.0,0.0,7.7958,S,Did Not Survive
Dataset 1,202,3,0,"Carlsson, Mr. Carl Robert",male,24.0,0.0,7.8542,S,Did Not Survive
Dataset 1,203,1,0,"Carlsson, Mr. Frans Olof",male,33.0,0.0,5.0,S,Did Not Survive
Dataset 1,204,3,1,"Carr, Miss. Helen ""Ellen""",female,16.0,0.0,7.75,Q,Survived
Dataset 1,205,3,0,"Carr, Miss. Jeannie",female,37.0,0.0,7.75,Q,Did Not Survive
Dataset 1,206,1,0,"Carrau, Mr. Francisco M",male,28.0,0.0,47.1,S,Did Not Survive
Dataset 1,207,1,0,"Carrau, Mr. Jose Pedro",male,17.0,0.0,47.1,S,Did Not Survive
Dataset 1,208,1,1,"Carter, Master. William Thornton II",male,11.0,3.0,120.0,S,Survived
Dataset 1,209,1,1,"Carter, Miss. Lucile Polk",female,14.0,3.0,120.0,S,Survived
Dataset 1,210,1,1,"Carter, Mr. William Ernest",male,36.0,3.0,120.0,S,Survived
Dataset 1,211,2,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,1.0,26.0,S,Did Not Survive
Dataset 1,212,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,3.0,120.0,S,Survived
Dataset 1,213,2,0,"Carter, Rev. Ernest Courtenay",male,54.0,1.0,26.0,S,Did Not Survive
Dataset 1,214,3,0,"Carver, Mr. Alfred John",male,28.0,0.0,7.25,S,Did Not Survive
Dataset 1,215,1,0,"Case, Mr. Howard Brown",male,49.0,0.0,26.0,S,Did Not Survive
Dataset 1,216,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0.0,27.7208,C,Survived
Dataset 1,217,1,0,"Cavendish, Mr. Tyrell William",male,36.0,1.0,78.85,S,Did Not Survive
Dataset 1,218,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female,76.0,1.0,78.85,S,Survived
Dataset 1,219,3,0,"Celotti, Mr. Francesco",male,24.0,0.0,8.05,S,Did Not Survive
Dataset 1,220,1,0,"Chaffee, Mr. Herbert Fuller",male,46.0,1.0,61.175,S,Did Not Survive
Dataset 1,221,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1.0,61.175,S,Survived
Dataset 1,222,1,1,"Chambers, Mr. Norman Campbell",male,27.0,1.0,53.1,S,Survived
Dataset 1,223,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,1.0,53.1,S,Survived
Dataset 1,224,2,0,"Chapman, Mr. Charles Henry",male,52.0,0.0,13.5,S,Did Not Survive
Dataset 1,225,2,0,"Chapman, Mr. John Henry",male,37.0,1.0,26.0,S,Did Not Survive
Dataset 1,226,2,0,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1.0,26.0,S,Did Not Survive
Dataset 1,227,3,0,"Charters, Mr. David",male,21.0,0.0,7.7333,Q,Did Not Survive
Dataset 1,228,1,1,"Chaudanson, Miss. Victorine",female,36.0,0.0,262.375,C,Survived
Dataset 1,229,1,1,"Cherry, Miss. Gladys",female,30.0,0.0,86.5,S,Survived
Dataset 1,230,1,1,"Chevre, Mr. Paul Romaine",male,45.0,0.0,29.7,C,Survived
Dataset 1,231,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,1.0,55.0,S,Survived
Dataset 1,232,3,1,"Chip, Mr. Chang",male,32.0,0.0,56.4958,S,Survived
Dataset 1,233,1,0,"Chisholm, Mr. Roderick Robert Crispin",male,,0.0,0.0,S,Did Not Survive
Dataset 1,234,3,0,"Christmann, Mr. Emil",male,29.0,0.0,8.05,S,Did Not Survive
Dataset 1,235,2,1,"Christy, Miss. Julie Rachel",female,25.0,2.0,30.0,S,Survived
Dataset 1,236,2,1,"Christy, Mrs. (Alice Frances)",female,45.0,2.0,30.0,S,Survived
Dataset 1,237,3,0,"Chronopoulos, Mr. Apostolos",male,26.0,1.0,14.4542,C,Did Not Survive
Dataset 1,238,3,0,"Chronopoulos, Mr. Demetrios",male,18.0,1.0,14.4542,C,Did Not Survive
Dataset 1,239,1,0,"Clark, Mr. Walter Miller",male,27.0,1.0,136.7792,C,Did Not Survive
Dataset 1,240,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",female,26.0,1.0,136.7792,C,Survived
Dataset 1,241,2,0,"Clarke, Mr. Charles Valentine",male,29.0,1.0,26.0,S,Did Not Survive
Dataset 1,242,2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)",female,28.0,1.0,26.0,S,Survived
Dataset 1,243,1,1,"Cleaver, Miss. Alice",female,22.0,0.0,151.55,S,Survived
Dataset 1,244,1,0,"Clifford, Mr. George Quincy",male,,0.0,52.0,S,Did Not Survive
Dataset 1,245,3,0,"Coelho, Mr. Domingos Fernandeo",male,20.0,0.0,7.05,S,Did Not Survive
Dataset 1,246,3,1,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0.0,8.05,S,Survived
Dataset 1,247,3,0,"Colbert, Mr. Patrick",male,24.0,0.0,7.25,Q,Did Not Survive
Dataset 1,248,3,0,"Coleff, Mr. Peju",male,36.0,0.0,7.4958,S,Did Not Survive
Dataset 1,249,3,0,"Coleff, Mr. Satio",male,24.0,0.0,7.4958,S,Did Not Survive
Dataset 1,250,2,0,"Coleridge, Mr. Reginald Charles",male,29.0,0.0,10.5,S,Did Not Survive
Dataset 1,251,2,0,"Collander, Mr. Erik Gustaf",male,28.0,0.0,13.0,S,Did Not Survive
Dataset 1,252,2,1,"Collett, Mr. Sidney C Stuart",male,24.0,0.0,10.5,S,Survived
Dataset 1,253,1,0,"Colley, Mr. Edward Pomeroy",male,47.0,0.0,25.5875,S,Did Not Survive
Dataset 1,254,2,1,"Collyer, Miss. Marjorie ""Lottie""",female,8.0,2.0,26.25,S,Survived
